valor_estimado_1,confianza_1,valor_estimado_2,confianza_2,valor_estimado_3,confianza_3,valor_alrededor_de,confianza_alrededor_de,recomendacion
80,50,40,50,60,30,260,95.0,No
120,50,50,70,100,60,200,71.0,No
120,70,50,50,70,50,240,65.0,Si
150,60,30,50,80,70,250,62.0,Si
50,70,40,100,35,80,100,46.0,Si
50,75,20,80,100,70,160,32.0,No
200,80,75,70,100,60,350,99.0,Si
35,70,40,40,35,70,30,22.0,Si
80,70,60,80,70,6,250,80.0,No
125,7,75,60,75,7,300,59.0,Si
100,85,60,100,60,80,120,34.0,Si
50,70,40,60,30,60,40,93.0,No
150,80,25,70,80,80,190,99.0,No
50,98,30,98,60,80,200,10.0,No
100,80,48,55,130,60,280,96.0,No
200,70,50,85,75,85,400,69.0,Si
50,80,20,77,38,80,108,67.0,Si
80,70,80,80,50,80,150,75.0,Si
100,82,30,70,55,74,200,15.0,No
80,80,50,90,50,90,200,23.0,Si
50,90,50,80,100,80,200,95.0,No
30,80,30,80,50,80,120,72.0,No
60,70,30,80,50,65,180,65.0,No
70,60,15,70,120,75,150,70.0,No
30,70,40,70,35,90,120,7.0,No
100,95,50,80,50,100,200,90.0,No
50,80,30,90,100,5,200,60.0,No
40,80,20,70,30,60,90,70.0,No
40,80,60,85,50,85,150,70.0,No
